Modelo,Precio
Kaira,35.0
Kaira,35.0
Fergie,45.0
FERGIE,45.0
Fergie,45.0
Fergie,45.0
Fergie,45.0
Fergie,45.0
Susan,45.0
Doris,45.0
Begonia,45.0
Kaira,35.0
Cleopatra,35.0
Cleopatra,35.0
Sury,35.0
Sury,35.0
Fergie,45.0
Gina,45.0
FERGIE,45.0
Gina,45.0
CANASTA,45.0
Victoria,45.0
Nicole,45.0
Paulette,45.0
Paulette,45.0
Paulette,45.0
Paulette,45.0
Paulette,45.0
Rihanna,45.0
Victoria,45.0
Gina,45.0
Samantha,45.0
Fergie,45.0
Doris,45.0
Gina,45.0
Nicole,45.0
Nicole,45.0
SUSAN,45.0
Victoria,45.0
Mery,45.0
Leyda,35.0
Perla,35.0
Victoria,45.0
Susan,45.0
Susan,45.0
Nicole,45.0
Canasta,35.0
Victoria,45.0
